#-----------------------------------------------------------------------------
# Date d'extraction : 22/01/2025 - 11h47 loc.
#-----------------------------------------------------------------------------
# Producteur : CEN
# Experience : ADAMONT2017
# Modele     : ALADIN53_CNRM-CM5
# Scenario :
#     REF : rÃ©fÃ©rence
#-----------------------------------------------------------------------------
# PÃ©riode extraite : de 1950 Ã  2005
#-----------------------------------------------------------------------------
# Type d'indice : horaire
#-----------------------------------------------------------------------------
# Indices : 
#     TAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     TNAV : TempÃ©rature minimale journaliÃ¨re (Â°C)
#     TXAV : TempÃ©rature maximale journaliÃ¨re (Â°C)
#     SD : Nombre de journÃ©es d'Ã©tÃ© (jour(s))
#     TXND : Nombre de jours anormalement chauds (jour(s))
#     TNHT : Nombre de nuits anormalement chaudes (jour(s))
#     TR : Nombre de nuits tropicales (jour(s))
#     TNFD : Nombre de jours de gel (jour(s))
#     TNND : Nombre de jours anormalement froids (jour(s))
#     TXFD : Nombre de jours sans dÃ©gel (jour(s))
#     TNCWD : Nombre de jours d'une vague de froid (jour(s))
#     TXHWD : Nombre de jours d'une vague de chaleur (jour(s))
#     TRAV : Amplitude thermique journaliÃ¨re (Â°C)
#     TXQ90 : ExtrÃªme chaud de la tempÃ©rature maximale journaliÃ¨re (Â°C)
#     TXQ10 : ExtrÃªme froid de la tempÃ©rature maximale journaliÃ¨re (Â°C)
#     TNQ10 : ExtrÃªme froid de la tempÃ©rature minimale journaliÃ¨re (Â°C)
#     TNQ90 : ExtrÃªme chaud de la tempÃ©rature minimale journaliÃ¨re (Â°C)
#     PAV : PrÃ©cipitations journaliÃ¨res moyennes (mm)
#     RR : Cumul de prÃ©cipitation (mm)
#     RR1MM : Nombre de jours de pluie (jour(s))
#     PN20MM : Nombre de jours de fortes prÃ©cipitations (jour(s))
#     PFL90 : Fraction des prÃ©cipitations journaliÃ¨res intenses (%)
#     PXCWD : Nombre maximum de jours pluvieux consÃ©cutifs (jour(s))
#     PXCDD : PÃ©riode de sÃ©cheresse (jour(s))
#     PINT : PrÃ©cipitation moyenne les jours pluvieux (mm)
#     RRSN : rapport entre le cumul de prÃ©cipitations neigeuses et totales
#     SNDAV : Ã©paisseur de neige moyenne (cm)
#     SND5 : nombre de jours de dÃ©passement dâ€™un seuil de 5 cm (jour(s))
#     SND50 : nombre de jours de dÃ©passement dâ€™un seuil de 50 cm (jour(s))
#     SND100 : nombre de jours de dÃ©passement dâ€™un seuil de 100 cm (jour(s))
#     SWE : maximum dâ€™Ã©quivalent en eau du manteau neigeux (mm)
#     SWEDAT : date du maximum dâ€™Ã©quivalent en eau du manteau neigeux (%)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Identifiant;Libelle;Altitude;Contexte;Annee;TAV;TNAV;TXAV;SD;TXND;TNHT;TR;TNFD;TNND;TXFD;TNCWD;TXHWD;TRAV;TXQ90;TXQ10;TNQ10;TNQ90;PAV;RR;RR1MM;PN20MM;PFL90;PXCWD;PXCDD;PINT;RRSN;SNDAV;SND5;SND50;SND100;SWE;SWEDAT;
#-----------------------------------------------------------------------------
1010600;ALPES : Chablais;600 m;REF;1951;4.23;0.79;7.67;0;27;25;0;71;8;0;0;6;6.87;12.05;3.25;-3.95;5.15;3.64;658.98;69;5;59.73;5;18;9.33;0.07;0.13;0;0;0;7.71;19510310;
1010600;ALPES : Chablais;600 m;REF;1952;2.5;-0.99;5.99;0;9;10;0;111;18;7;0;0;6.98;10.95;1.45;-5.35;3.85;5.36;975.78;81;16;65.94;6;13;11.89;0.15;4.16;46;0;0;56.03;19520128;
1010600;ALPES : Chablais;600 m;REF;1953;3.81;0.21;7.4;0;17;10;0;79;12;10;0;0;7.19;14.05;1.55;-4.95;5.05;4.31;780.83;65;8;73.99;9;21;11.81;0.11;1.22;27;0;0;35.23;19530204;
1010600;ALPES : Chablais;600 m;REF;1954;4.25;0.7;7.8;0;21;13;0;60;9;11;0;0;7.1;14.55;1.25;-4.65;4.85;3.18;574.86;69;6;59.51;9;15;8.17;0.11;0.75;7;0;0;39.01;19531214;
1010600;ALPES : Chablais;600 m;REF;1955;2.93;-0.72;6.58;0;15;11;0;100;25;13;0;0;7.3;13.85;0.35;-7.15;5.25;4.5;814.98;77;11;64.31;9;20;10.44;0.31;8.49;67;0;0;100.92;19550132;
1010600;ALPES : Chablais;600 m;REF;1956;3.12;-0.9;7.14;0;34;17;0;99;30;24;16;10;8.04;16.65;-1.45;-7.85;5.75;2.57;467.31;65;4;54.45;11;21;7.03;0.16;1.99;30;0;0;27.96;19560212;
1010600;ALPES : Chablais;600 m;REF;1957;3.04;-0.2;6.29;0;6;8;0;93;8;10;0;0;6.49;11.95;1.65;-5.05;4.25;6.73;1219.03;99;19;58.87;14;10;12.21;0.16;1.6;24;0;0;42.04;19561230;
1010600;ALPES : Chablais;600 m;REF;1958;3.32;-0.79;7.44;0;21;7;0;92;22;20;11;0;8.23;15.35;-0.15;-7.45;4.35;2.19;396.14;58;0;61.65;5;17;6.61;0.17;2.35;30;0;0;23.06;19571222;
1010600;ALPES : Chablais;600 m;REF;1959;3.8;-0.15;7.76;0;26;12;0;95;9;9;0;7;7.91;16.55;0.85;-5.75;4.55;4.4;795.95;75;12;60.61;9;20;10.41;0.15;2.76;32;0;0;53.19;19590120;
1010600;ALPES : Chablais;600 m;REF;1960;2.33;-1.18;5.83;0;6;11;0;109;27;12;0;0;7;11.45;0.95;-6.95;4.55;5.26;957.12;86;16;58.19;12;11;10.98;0.18;2.76;42;0;0;45.33;19591208;
1010600;ALPES : Chablais;600 m;REF;1961;4.37;1.13;7.61;0;24;22;0;67;7;7;0;0;6.49;12.95;2.55;-3.95;6.25;4.55;823.84;82;8;63.26;7;14;9.89;0.06;0.14;2;0;0;17.17;19601214;
1010600;ALPES : Chablais;600 m;REF;1962;3.21;-1.17;7.59;0;22;8;0;111;21;10;0;0;8.76;14.05;1.35;-6.15;3.65;2.04;369.44;47;3;65.8;9;30;7.57;0.08;1.22;6;0;0;24.53;19620220;
1010600;ALPES : Chablais;600 m;REF;1963;3.79;0.07;7.5;0;18;12;0;93;8;5;0;0;7.42;13.55;2.15;-4.45;4.55;5.54;1002.85;83;15;62.82;8;20;11.96;0.18;2.24;24;0;0;59.47;19630228;
1010600;ALPES : Chablais;600 m;REF;1964;4.18;0.42;7.94;0;31;14;0;89;4;3;0;13;7.52;14.15;2.25;-4.65;5.55;3.42;622.58;73;6;60.09;9;14;8.41;0.11;0.84;8;0;0;35.88;19631222;
1010600;ALPES : Chablais;600 m;REF;1965;3.26;-0.65;7.17;0;25;7;0;104;20;12;0;0;7.81;15.45;0.75;-6.15;5.35;4.35;788.02;66;12;73.43;12;20;11.82;0.04;0.87;15;0;0;24.93;19650212;
1010600;ALPES : Chablais;600 m;REF;1966;2.87;-0.54;6.28;0;14;11;0;100;11;15;6;0;6.81;11.55;0.35;-5.35;4.85;4.14;749.56;73;10;72.8;5;17;10.16;0.15;2.03;22;0;0;47.27;19651232;
1010600;ALPES : Chablais;600 m;REF;1967;3.1;-0.46;6.66;0;21;19;0;97;22;18;0;6;7.12;15.25;-0.15;-6.45;5.75;2.97;538.31;64;2;51.55;6;16;8.19;0.11;1.83;37;0;0;20.25;19670212;
1010600;ALPES : Chablais;600 m;REF;1968;3.9;0;7.8;0;37;12;0;92;15;7;0;13;7.8;15.25;1.25;-4.75;4.95;3.37;612.61;69;5;63.13;6;26;8.71;0.34;4.85;59;0;0;71.33;19680400;
1010600;ALPES : Chablais;600 m;REF;1969;3.16;-0.63;6.94;0;10;12;0;96;17;10;0;7;7.57;14.25;0.75;-6.45;5.55;5.03;911.29;81;13;66.18;25;17;11.09;0.09;0.96;4;0;0;19.77;19690224;
1010600;ALPES : Chablais;600 m;REF;1970;4.06;0.65;7.46;0;15;22;0;75;12;6;0;0;6.81;12.65;1.95;-4.95;5.55;5.3;959.11;91;15;62.84;8;9;10.43;0.12;1.89;23;0;0;38.23;19700216;
1010600;ALPES : Chablais;600 m;REF;1971;3.23;-0.74;7.19;0;15;6;0;101;15;11;0;0;7.93;15.35;1.05;-5.65;3.45;3.67;664.88;65;8;62.83;5;11;10.03;0.14;3.53;37;0;0;58.43;19710208;
1010600;ALPES : Chablais;600 m;REF;1972;4.67;1.06;8.29;0;31;15;0;69;6;10;0;0;7.23;15.65;1.45;-4.15;5.65;3.71;675.66;73;7;50.54;5;11;9.12;0.07;0.37;5;0;0;18.02;19711122;
