#-----------------------------------------------------------------------------
# Date d'extraction : 22/01/2025 - 13h48 loc.
#-----------------------------------------------------------------------------
# Producteur : CEN
# Experience : ADAMONT2017
# Modele     : ALADIN53_CNRM-CM5
# Scenario :
#     REF : rÃ©fÃ©rence
#     RCP8.5 : Emissions non rÃ©duites
#-----------------------------------------------------------------------------
# PÃ©riode extraite : de 2005 Ã  2100
#-----------------------------------------------------------------------------
# Type d'indice : horaire
#-----------------------------------------------------------------------------
# Indices : 
#     TAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     TNAV : TempÃ©rature minimale journaliÃ¨re (Â°C)
#     TXAV : TempÃ©rature maximale journaliÃ¨re (Â°C)
#     SD : Nombre de journÃ©es d'Ã©tÃ© (jour(s))
#     TXND : Nombre de jours anormalement chauds (jour(s))
#     TNHT : Nombre de nuits anormalement chaudes (jour(s))
#     TR : Nombre de nuits tropicales (jour(s))
#     TNFD : Nombre de jours de gel (jour(s))
#     TNND : Nombre de jours anormalement froids (jour(s))
#     TXFD : Nombre de jours sans dÃ©gel (jour(s))
#     TNCWD : Nombre de jours d'une vague de froid (jour(s))
#     TXHWD : Nombre de jours d'une vague de chaleur (jour(s))
#     TRAV : Amplitude thermique journaliÃ¨re (Â°C)
#     TXQ90 : ExtrÃªme chaud de la tempÃ©rature maximale journaliÃ¨re (Â°C)
#     TXQ10 : ExtrÃªme froid de la tempÃ©rature maximale journaliÃ¨re (Â°C)
#     TNQ10 : ExtrÃªme froid de la tempÃ©rature minimale journaliÃ¨re (Â°C)
#     TNQ90 : ExtrÃªme chaud de la tempÃ©rature minimale journaliÃ¨re (Â°C)
#     PAV : PrÃ©cipitations journaliÃ¨res moyennes (mm)
#     RR : Cumul de prÃ©cipitation (mm)
#     RR1MM : Nombre de jours de pluie (jour(s))
#     PN20MM : Nombre de jours de fortes prÃ©cipitations (jour(s))
#     PFL90 : Fraction des prÃ©cipitations journaliÃ¨res intenses (%)
#     PXCWD : Nombre maximum de jours pluvieux consÃ©cutifs (jour(s))
#     PXCDD : PÃ©riode de sÃ©cheresse (jour(s))
#     PINT : PrÃ©cipitation moyenne les jours pluvieux (mm)
#     RRSN : rapport entre le cumul de prÃ©cipitations neigeuses et totales
#     SNDAV : Ã©paisseur de neige moyenne (cm)
#     SND5 : nombre de jours de dÃ©passement dâ€™un seuil de 5 cm (jour(s))
#     SND50 : nombre de jours de dÃ©passement dâ€™un seuil de 50 cm (jour(s))
#     SND100 : nombre de jours de dÃ©passement dâ€™un seuil de 100 cm (jour(s))
#     SWE : maximum dâ€™Ã©quivalent en eau du manteau neigeux (mm)
#     SWEDAT : date du maximum dâ€™Ã©quivalent en eau du manteau neigeux (%)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Identifiant;Libelle;Altitude;Contexte;Annee;TAV;TNAV;TXAV;SD;TXND;TNHT;TR;TNFD;TNND;TXFD;TNCWD;TXHWD;TRAV;TXQ90;TXQ10;TNQ10;TNQ90;PAV;RR;RR1MM;PN20MM;PFL90;PXCWD;PXCDD;PINT;RRSN;SNDAV;SND5;SND50;SND100;SWE;SWEDAT;
#-----------------------------------------------------------------------------
1010600;ALPES : Chablais;600 m;REF;2005;3.5;-0.23;7.23;0;13;13;0;98;8;9;0;0;7.47;13.35;1.35;-4.95;5.05;3.73;674.28;67;9;64.43;11;28;9.9;0.11;1.67;25;0;0;29.13;20050122;
1010900;ALPES : Chablais;900 m;REF;2005;1.73;-2.15;5.61;0;18;13;0;126;13;22;0;0;7.76;11.85;-0.35;-7.25;3.05;4.27;773.54;76;13;64.55;11;14;10.03;0.21;6.17;80;0;0;69.58;20050312;
1011200;ALPES : Chablais;1200 m;REF;2005;0.78;-2.74;4.3;0;17;14;0;135;14;25;0;0;7.04;9.95;-0.95;-7.95;2.35;4.77;864.1;66;16;64.6;11;27;12.91;0.39;30.33;118;40;0;224.22;20050320;
1011500;ALPES : Chablais;1500 m;REF;2005;0.22;-2.99;3.42;0;17;16;0;131;17;35;0;0;6.42;8.55;-1.25;-8.55;2.55;4.72;854.97;73;13;61.48;11;22;11.56;0.51;41.88;138;101;4;294.88;20050320;
1011800;ALPES : Chablais;1800 m;REF;2005;-1.02;-4.11;2.07;0;16;16;0;149;16;56;0;0;6.18;7.05;-2.35;-9.25;1.15;4.87;881.95;73;14;64.22;11;13;11.98;0.67;72.01;152;123;47;446.47;20050408;
1012100;ALPES : Chablais;2100 m;REF;2005;-2.45;-5.36;0.45;0;18;16;0;164;16;84;0;0;5.81;5.35;-4.45;-10.95;-0.15;4.99;903.35;72;14;62.83;11;25;12.41;0.77;95.72;176;125;114;565.47;20050416;
1012400;ALPES : Chablais;2400 m;REF;2005;-3.71;-6.54;-0.88;0;16;21;0;174;18;96;0;0;5.66;3.55;-5.75;-12.55;-1.15;5.18;936.68;71;15;63.68;11;16;13.07;0.92;128.02;180;132;123;767.91;20050422;
1012700;ALPES : Chablais;2700 m;REF;2005;-5.46;-8.24;-2.68;0;14;21;0;179;19;132;0;0;5.56;1.85;-7.25;-14.75;-2.65;5.72;1035.03;70;18;62.22;11;27;14.59;0.99;181.82;181;177;134;1051.82;20050424;
1020900;ALPES : Aravis;900 m;REF;2005;2.07;-2.18;6.33;0;19;13;0;131;11;16;0;0;8.52;12.95;0.25;-7.35;3.35;3.97;718.99;68;12;65.5;11;28;10.39;0.2;8.92;83;0;0;83.71;20050220;
1021200;ALPES : Aravis;1200 m;REF;2005;0.79;-3.04;4.61;0;20;13;0;135;12;24;0;0;7.65;10.85;-0.35;-8.05;2.25;4.51;816.86;69;10;64.69;11;28;11.68;0.37;31.69;118;70;0;219.78;20050320;
1021500;ALPES : Aravis;1500 m;REF;2005;0.01;-3.42;3.44;0;21;17;0;141;14;39;0;0;6.86;8.55;-1.35;-8.95;2.15;4.78;864.51;73;12;67.02;11;14;11.72;0.49;46.36;136;102;7;322.35;20050320;
1021800;ALPES : Aravis;1800 m;REF;2005;-1.09;-4.24;2.07;0;18;23;0;144;14;56;0;0;6.31;7.25;-2.55;-9.65;1.45;4.89;885.61;72;12;64.96;11;13;12.13;0.7;80.2;162;123;88;504.17;20050408;
1022100;ALPES : Aravis;2100 m;REF;2005;-2.51;-5.49;0.48;0;14;24;0;163;16;87;0;0;5.97;5.55;-3.95;-10.85;-0.05;5.07;917.48;71;17;65.22;11;11;12.77;0.76;106.98;179;129;120;634.25;20050416;
1022400;ALPES : Aravis;2400 m;REF;2005;-3.84;-6.8;-0.88;0;18;24;0;173;17;100;0;0;5.92;3.75;-5.05;-12.45;-1.45;5.4;976.85;72;18;68.89;11;28;13.44;0.97;161.21;181;177;130;919.03;20050422;
1022700;ALPES : Aravis;2700 m;REF;2005;-5.58;-8.46;-2.7;0;16;21;0;181;19;134;6;0;5.77;1.85;-7.25;-14.05;-2.85;5.97;1079.99;75;18;62.68;11;28;14.23;0.99;201.25;181;180;150;1109.67;20050424;
1031200;ALPES : Mont-Blanc;1200 m;REF;2005;1.1;-2.78;4.98;0;21;11;0;134;4;23;0;0;7.76;11.05;-0.95;-6.85;2.15;2.85;516.34;59;6;54.81;8;27;8.6;0.43;16.25;105;0;0;125.07;20050320;
